date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:09	42690/42690	U--M-Z	200	updated ('OK')	text/html	etag:%22a6c2-595f8d2d254e0-gzip%22	http://www.suzannecollinsbooks.com/index.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/index.html	(from )
13:14:09	26038/26038	U--M-Z	200	updated ('OK')	text/html	etag:%2265b6-595f8d247f660-gzip%22	http://www.suzannecollinsbooks.com/when_charlie_mcbutton_lost_power_48391.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/when_charlie_mcbutton_lost_power_48391.html	(from )
13:14:10	47516/47516	U--M-Z	200	updated ('OK')	text/html	etag:%22b99c-595f8d2ba5825-gzip%22	http://www.suzannecollinsbooks.com/year_of_the_jungle_119468.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/year_of_the_jungle_119468.html	(from )
13:14:10	30485/30485	U--M-Z	200	updated ('OK')	text/html	etag:%227715-595f8d28b490e-gzip%22	http://www.suzannecollinsbooks.com/catching_fire_88086.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/catching_fire_88086.html	(from )
13:14:10	34070/34070	U--M-Z	200	updated ('OK')	text/html	etag:%228516-595f8d2a25b69-gzip%22	http://www.suzannecollinsbooks.com/mockingjay_102797.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/mockingjay_102797.html	(from )
13:14:10	27941/27941	U--M-Z	200	updated ('OK')	text/html	etag:%226d25-595f8d21a9ccb-gzip%22	http://www.suzannecollinsbooks.com/gregor_the_overlander_48384.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/gregor_the_overlander_48384.html	(from )
13:14:10	31527/31527	U--M-Z	200	updated ('OK')	text/html	etag:%227b27-595f8d27530b4-gzip%22	http://www.suzannecollinsbooks.com/the_hunger_games_69765.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/the_hunger_games_69765.html	(from )
13:14:10	26185/26185	U--M-Z	200	updated ('OK')	text/html	etag:%226649-595f8d1eda0f7-gzip%22	http://www.suzannecollinsbooks.com/gregor_and_the_prophecy_of_bane_48385.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/gregor_and_the_prophecy_of_bane_48385.html	(from )
13:14:10	25964/25964	U--M-Z	200	updated ('OK')	text/html	etag:%22656c-595f8d2315165-gzip%22	http://www.suzannecollinsbooks.com/gregor_and_the_curse_of_the_warmbloods_48386.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/gregor_and_the_curse_of_the_warmbloods_48386.html	(from )
13:14:11	26274/26274	U--M-Z	200	updated ('OK')	text/html	etag:%2266a2-595f8d25eba9a-gzip%22	http://www.suzannecollinsbooks.com/gregor_and_the_marks_of_secret_48393.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/gregor_and_the_marks_of_secret_48393.html	(from )
13:14:11	26911/26911	U--M-Z	200	updated ('OK')	text/html	etag:%22691f-595f8d203d891-gzip%22	http://www.suzannecollinsbooks.com/gregor_and_the_code_of_claw_48394.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/gregor_and_the_code_of_claw_48394.html	(from )
13:14:11	32633/32633	U--M-Z	200	updated ('OK')	text/html	etag:%227f79-595f8d2e7ffda-gzip%22	http://www.suzannecollinsbooks.com/works.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/works.html	(from )
13:14:11	26750/26750	U--M-Z	200	updated ('OK')	text/html	etag:%22687e-595f8d2fc33d1-gzip%22	http://www.suzannecollinsbooks.com/bio.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/bio.html	(from )
13:14:11	30935/30935	U--M-Z	200	updated ('OK')	text/html	etag:%2278d7-595f8d3105828-gzip%22	http://www.suzannecollinsbooks.com/events.htm	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/events.html	(from )
13:14:11	47281/47281	U--M-Z	200	updated ('OK')	text/css	etag:%22b8b1-595f8d313e26d-gzip%22	http://www.suzannecollinsbooks.com/theme/sitebuilder.css	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/theme/sitebuilder.css	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:11	46668/46668	U--M-Z	200	updated ('OK')	text/css	etag:%22b64c-595f8d313f20d-gzip%22	http://www.suzannecollinsbooks.com/theme/theme.css	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/theme/theme.css	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:12	125721/125721	U-----	200	untouched ('')	image/jpeg	etag:%221eb19-595f8d3125bcb%22	http://www.suzannecollinsbooks.com/images/ballad_of_songbirds_and_snakes_cover_3d-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/ballad_of_songbirds_and_snakes_cover_3d-x_small.jpg	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:12	41685/41685	U-----	200	untouched ('')	image/jpeg	etag:%22a2d5-595f8d311522a%22	http://www.suzannecollinsbooks.com/images/Central_park_ii-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Central_park_ii-x_small.jpg	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:12	40754/40754	U-----	200	untouched ('')	image/jpeg	etag:%229f32-595f8d310e4c9%22	http://www.suzannecollinsbooks.com/images/Mockingjay-Movie-Tie-In-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Mockingjay-Movie-Tie-In-x_small.jpg	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:13	17442/17442	U-----	200	untouched ('')	image/jpeg	etag:%224422-595f8d3122ceb%22	http://www.suzannecollinsbooks.com/images/YOTJ_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/YOTJ_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/index.htm)
13:14:13	11496/11496	U-----	200	untouched ('')	image/jpeg	etag:%222ce8-595f8d310a649%22	http://www.suzannecollinsbooks.com/images/YOTJ-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/YOTJ-x_small.jpg	(from http://www.suzannecollinsbooks.com/index.htm)
